hind1,hind2,hpair_ind
47,7,692
48,7,693
49,7,694
50,7,695
51,7,696
52,7,697
53,7,698
54,7,699
55,7,700
56,7,701
57,7,702
58,7,703
59,7,704
60,7,705
61,7,706
62,7,707
63,7,708
64,7,709
65,7,710
66,7,711
67,7,712
68,7,713
69,7,714
70,7,715
71,7,716
72,7,717
73,7,718
74,7,719
75,7,720
76,7,721
77,7,722
78,7,723
79,7,724
80,7,725
81,7,726
82,7,727
83,7,728
84,7,729
85,7,730
86,7,731
87,7,732
88,7,733
89,7,734
90,7,735
91,7,736
92,7,737
93,7,738
94,7,739
95,7,740
96,7,741
97,7,742
98,7,743
99,7,744
100,7,745
101,7,746
102,7,747
103,7,748
104,7,749
105,7,750
106,7,751
107,7,752
108,7,753
109,7,754
110,7,755
111,7,756
1,8,8
2,8,118
3,8,227
4,8,335
5,8,442
6,8,548
7,8,653
8,8,757
9,8,758
10,8,759
11,8,760
12,8,761
13,8,762
14,8,763
15,8,764
16,8,765
17,8,766
18,8,767
19,8,768
20,8,769
21,8,770
22,8,771
23,8,772
24,8,773
25,8,774
26,8,775
27,8,776
28,8,777
29,8,778
30,8,779
31,8,780
32,8,781
33,8,782
34,8,783
35,8,784
36,8,785
37,8,786
38,8,787
39,8,788
40,8,789
41,8,790
42,8,791
43,8,792
44,8,793
45,8,794
46,8,795
47,8,796
48,8,797
49,8,798
50,8,799
51,8,800
52,8,801
53,8,802
54,8,803
55,8,804
56,8,805
57,8,806
58,8,807
59,8,808
60,8,809
61,8,810
62,8,811
63,8,812
64,8,813
65,8,814
66,8,815
67,8,816
68,8,817
69,8,818
70,8,819
71,8,820
72,8,821
73,8,822
74,8,823
75,8,824
76,8,825
77,8,826
78,8,827
79,8,828
80,8,829
81,8,830
82,8,831
83,8,832
84,8,833
85,8,834
86,8,835
87,8,836
88,8,837
89,8,838
90,8,839
91,8,840
92,8,841
93,8,842
94,8,843
95,8,844
96,8,845
97,8,846
98,8,847
99,8,848
100,8,849
101,8,850
102,8,851
103,8,852
104,8,853
105,8,854
106,8,855
107,8,856
108,8,857
109,8,858
110,8,859
111,8,860
1,9,9
2,9,119
3,9,228
4,9,336
5,9,443
6,9,549
7,9,654
8,9,758
9,9,861
10,9,862
11,9,863
12,9,864
13,9,865
14,9,866
15,9,867
16,9,868
17,9,869
18,9,870
19,9,871
20,9,872
21,9,873
22,9,874
23,9,875
24,9,876
25,9,877
26,9,878
27,9,879
28,9,880
29,9,881
30,9,882
31,9,883
32,9,884
33,9,885
34,9,886
35,9,887
36,9,888
37,9,889
38,9,890
39,9,891
40,9,892
41,9,893
42,9,894
43,9,895
44,9,896
45,9,897
46,9,898
47,9,899
48,9,900
49,9,901
50,9,902
51,9,903
52,9,904
53,9,905
54,9,906
55,9,907
56,9,908
57,9,909
58,9,910
59,9,911
60,9,912
61,9,913
62,9,914
63,9,915
64,9,916
65,9,917
66,9,918
67,9,919
68,9,920
69,9,921
70,9,922
71,9,923
72,9,924
73,9,925
74,9,926
75,9,927
76,9,928
77,9,929
78,9,930
79,9,931
80,9,932
81,9,933
82,9,934
83,9,935
84,9,936
85,9,937
86,9,938
87,9,939
88,9,940
89,9,941
90,9,942
91,9,943
92,9,944
93,9,945
94,9,946
95,9,947
96,9,948
97,9,949
98,9,950
99,9,951
100,9,952
101,9,953
102,9,954
103,9,955
104,9,956
105,9,957
106,9,958
107,9,959
108,9,960
109,9,961
110,9,962
111,9,963
1,10,10
2,10,120
3,10,229
4,10,337
5,10,444
6,10,550
7,10,655
8,10,759
9,10,862
10,10,964
